path, href
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BIRTHS DEATHS AND MARRIAGES REGISTRATION ACT 1997/index.html, s4.html#adult
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BIRTHS DEATHS AND MARRIAGES REGISTRATION ACT 1997/index.html, s4.html#child
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BIRTHS DEATHS AND MARRIAGES REGISTRATION ACT 1997/index.html, http://www.austlii.edu.au/au/legis/act/consol_act/bdamra1997383/s22b.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BIRTHS DEATHS AND MARRIAGES REGISTRATION ACT 1997/index.html, s22j.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BIRTHS DEATHS AND MARRIAGES REGISTRATION ACT 1997/index.html, s29g.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/BIRTHS DEATHS AND MARRIAGES REGISTRATION ACT 1997/index.html, s29h.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/TRADERS LICENSING ACT 2016/index.html, s4.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/TRADERS LICENSING ACT 2016/index.html, s9.html#motor_vehicle_dealer
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/TRADERS LICENSING ACT 2016/index.html, s10.html#motor_vehicle_repairer
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/TRADERS LICENSING ACT 2016/index.html, s3.html#licensee
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/TRADERS LICENSING ACT 2016/index.html, s3.html#licensee
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/TRUSTEE COMPANIES ACT 1947/index.html, s3.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/GOVERNMENT PROCUREMENT ACT 2001/index.html, s2a.html#procurement
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/GOVERNMENT PROCUREMENT ACT 2001/index.html, s3.html#territory_entity
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/GOVERNMENT PROCUREMENT ACT 2001/index.html, s4.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/GOVERNMENT PROCUREMENT ACT 2001/index.html, s2a.html#procurement
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/GOVERNMENT PROCUREMENT ACT 2001/index.html, s2a.html#procurement
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/GOVERNMENT PROCUREMENT ACT 2001/index.html, s2a.html#procurement
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/GOVERNMENT PROCUREMENT ACT 2001/index.html, s2a.html#procurement
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/GOVERNMENT PROCUREMENT ACT 2001/index.html, s2a.html#procurement
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/GOVERNMENT PROCUREMENT ACT 2001/index.html, s2a.html#procurement
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/GOVERNMENT PROCUREMENT ACT 2001/index.html, s3.html#territory_entity
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/ROYAL COMMISSIONS ACT 1991/index.html, s3.html
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/ROYAL COMMISSIONS ACT 1991/index.html, s4.html#conduct
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/ROYAL COMMISSIONS ACT 1991/index.html, s4.html#conduct
/Users/home/projects/selenium-py/ACT-LEGISLATION_HTML copy/GENE TECHNOLOGY ACT 2003/index.html, s8b.html
